codigo_pelicula,titulo,idioma,formato,genero,codigo_productora
30594,Miyenze 2,Inglés,Formato 15,Infantil ,287001
21236,Red Lodge 3,Inglés,Formato 5,Policíaco ,164418
27500,Nobtinga ,Inglés,Formato 24,Ciencia Ficción ,633507
4209,No. 1 Bhatiakhali ,Inglés,Formato 27,Policíaco ,896691
21163,Asukiqa ,Inglés,Formato 16,Western ,536424
29997,Govejk ,Inglés,Formato 29,Teatro ,391651
14654,Gradenaak ,Inglés,Formato 21,Musicales,624015
1532,Sangli-Miraj ,Inglés,Formato 23,Musicales,779837
16799,Pahu Wind ,Inglés,Formato 10,Series TV ,760766
12581,Sao 1 3,Inglés,Formato 19,Infantil ,926407
3028,Culburra-Orient Point ,Inglés,Formato 18,Comedia ,666620
11229,Maijan Hindu Kodomoni ,Inglés,Formato 28,Románticas,318339
24647,Ballalca ,Inglés,Formato 1,Western ,667825
24107,Konani 2,Inglés,Formato 19,Ciencia Ficción ,694376
16825,Kingaon Kh 3,Inglés,Formato 4,Suspenso ,352900
13830,Takampur F V ,Inglés,Formato 31,Suspenso ,151341
25981,Saraylal 1,Inglés,Formato 25,Bélico ,724060
13246,Gunehr 1,Inglés,Formato 26,Musicales,109262
19954,Hasanpura ,Inglés,Formato 7,Epico,548121
12911,Chaha r Da ngeh ,Inglés,Formato 13,Terror ,887789
11942,Moila Ali Gaon 3,Inglés,Formato 30,Series TV ,606257
25088,Palga ,Inglés,Formato 17,Románticas,106092
15521,Beri ,Inglés,Formato 11,Documentales ,803518
24921,Bantogdo ,Inglés,Formato 15,Acción,820880
21298,Hiayda n ,Inglés,Formato 20,Teatro ,325131
22138,Nandapur ,Inglés,Formato 16,Clásicos ,817982
25034,Kounkoubghin ,Inglés,Formato 5,Musicales,259949
22385,Uttarjasnabad Pt I 3,Inglés,Formato 15,Histórico,63284
4146,Tuaina 3,Inglés,Formato 9,Western ,650728
27787,Mwambaha 3,Inglés,Formato 7,Series TV ,253475
6513,Gusu ,Inglés,Formato 23,Importación ,632850
15363,al-Karad ,Inglés,Formato 3,Infantil ,814570
12621,Kot ,Inglés,Formato 6,Animación,281604
25756,Bekiralani 3,Inglés,Formato 4,Fantasía,959173
31121,Balalklal 2,Inglés,Formato 5,Drama ,712773
22708,Kokiyakhar 1,Inglés,Formato 4,Animación,189473
8183,Karirwali ,Inglés,Formato 29,Infantil ,83268
10059,Lahov Graben ,Inglés,Formato 32,Bélico ,905248
16569,Malyawar 3,Inglés,Formato 10,Western ,848279
24708,Muhammadpur Korji ,Inglés,Formato 8,Suspenso ,1059
28811,Baadere ,Inglés,Formato 11,Histórico,630453
15470,Zano ,Inglés,Formato 30,Clásicos ,92671
12066,Bartibouogou Peulh ,Inglés,Formato 33,Ciencia Ficción ,892743
21709,Kursakati ,Inglés,Formato 8,Ciencia Ficción ,52769
