nro_voluntario,horas_minimas_aportadas,horas_maximas_aportadas,horas_promedio_aportadas
188,3800,3800,3800
145,14000,14000,14000
157,9500,9500,9500
182,2500,2500,2500
180,3200,3200,3200
103,9000,9000,9000
213,7364,7364,7364
118,2600,2600,2600
130,2800,2800,2800
141,3500,3500,3500
202,6000,6000,6000
197,3000,3000,3000
198,2600,2600,2600
114,11000,11000,11000
205,12000,12000,12000
151,9500,9500,9500
201,13000,13000,13000
155,7000,7000,7000
144,2500,2500,2500
105,4800,4800,4800
161,7000,7000,7000
129,3300,3300,3300
150,10000,10000,10000
122,7900,7900,7900
111,7700,7700,7700
162,10500,10500,10500
107,4200,4200,4200
167,6200,6200,6200
117,2800,2800,2800
204,10000,10000,10000
124,5800,5800,5800
185,4100,4100,4100
116,2900,2900,2900
172,7300,7300,7300
128,2200,2200,2200
179,6200,6200,6200
153,8000,8000,8000
189,3600,3600,3600
174,11000,11000,11000
183,2800,2800,2800
206,8300,8300,8300
196,3100,3100,3100
135,2400,2400,2400
106,4800,4800,4800
184,4200,4200,4200
169,10000,10000,10000
113,6900,6900,6900
166,6400,6400,6400
149,10500,10500,10500
112,7800,7800,7800
142,3100,3100,3100
102,17000,17000,17000
148,11000,11000,11000
192,4000,4000,4000
156,10000,10000,10000
137,3600,3600,3600
134,2900,2900,2900
163,9500,9500,9500
210,16042,16042,16042
171,7400,7400,7400
120,8000,8000,8000
177,8400,8400,8400
136,2200,2200,2200
178,7000,7000,7000
127,2400,2400,2400
147,12000,12000,12000
186,3400,3400,3400
121,8200,8200,8200
168,11500,11500,11500
176,8600,8600,8600
158,9000,9000,9000
138,3200,3200,3200
119,2500,2500,2500
132,2100,2100,2100
133,3300,3300,3300
190,2900,2900,2900
154,7500,7500,7500
123,6500,6500,6500
181,3100,3100,3100
170,9600,9600,9600
194,3200,3200,3200
193,3900,3900,3900
125,3200,3200,3200
110,8200,8200,8200
146,13500,13500,13500
175,8800,8800,8800
159,8000,8000,8000
109,9000,9000,9000
187,3000,3000,3000
173,6100,6100,6100
208,3468,3468,3468
108,12000,12000,12000
195,2800,2800,2800
203,6500,6500,6500
191,2500,2500,2500
131,2500,2500,2500
164,7200,7200,7200
126,2700,2700,2700
165,6800,6800,6800
115,3100,3100,3100
139,2700,2700,2700
160,7500,7500,7500
104,6000,6000,6000
199,2600,2600,2600
216,18421,18421,18421
152,9000,9000,9000
140,2500,2500,2500
143,2600,2600,2600
