idioma,cantidad_peliculas
Tamil,446
Vasco,408
Tajik,431
Danés,448
Amharico,438
Suahili,425
Gallego,398
Pashto,454
Farsi,429
Ruso,417
Francés,427
Vietnamés,410
Faroese,421
Arabe,455
Holandés,423
Galese,402
Noruego,445
Alemán,437
Esperanto,422
Escocés,445
Armenio,429
Eslovaco,402
Hungaro,399
Uzbekistano,417
Japonés,432
Maltés ,402
Chino,396
Malayés,421
Turkmenistano,407
Latviano,429
Italiano,409
Español,433
Dzongkha,418
Hebreo,386
Urdu,444
Tibetano,437
Coreano,435
Islandico,404
Bulgaro,468
Rumano,416
Tonganés,371
Inglés,456
Dari,430
Griego,466
Sueco,437
Turco,423
Estoniano,431
Birmanés,422
Tailandés,417
Macedonio,425
Albanés,384
Catalan,431
Portugués,484
Ucraniano,461
Indonesio,432
Tigrinia,401
Bieloruso,426
Khmer,428
Afrikaans,393
Somali,430
Lituano,461
Kurdo,394
Serbio,436
Esloveniano,409
Tagalog-Filipino,423
Hindi,427
Polaco,446
Laponico,396
Gaelico,416
Finlandés,408
Lao,421
Nepali,399
Checo,424
Croata,422
Bengali,401
