id_departamento,cant_empleados
8,448
33,362
70,358
19,351
55,371
29,483
14,275
3,232
17,227
74,342
91,316
64,208
7,380
52,345
73,485
34,229
37,466
77,405
82,385
84,410
39,407
78,572
76,294
95,218
18,284
92,178
58,456
25,373
59,378
100,163
28,172
2,484
11,261
83,404
41,482
21,515
60,230
31,241
23,446
26,174
24,220
30,397
47,353
51,366
22,371
15,336
48,138
94,427
62,552
54,319
12,447
89,223
96,281
40,218
1,238
57,235
4,274
45,232
72,306
9,359
13,333
56,324
49,554
43,335
79,425
69,489
88,247
42,453
66,318
87,312
99,266
61,475
71,412
98,414
90,471
65,211
27,302
68,397
67,227
20,433
5,477
6,440
93,238
44,371
50,270
46,453
32,426
38,475
85,433
86,364
97,303
80,551
81,347
53,419
16,297
63,359
10,310
75,348
36,324
35,376
