id_distribuidor,id_departamento,nombre
219,75,Departamento 219-75
117,47,Departamento 117-47
327,49,Departamento 327-49
304,12,Departamento 304-12
335,98,Departamento 335-98
47,28,Departamento 47-28
912,94,Departamento 912-94
598,84,Departamento 598-84
280,44,Departamento 280-44
98,36,Departamento 98-36
1046,11,Departamento 1046-11
320,23,Departamento 320-23
373,11,Departamento 373-11
707,13,Departamento 707-13
162,70,Departamento 162-70
639,71,Departamento 639-71
897,37,Departamento 897-37
528,33,Departamento 528-33
328,42,Departamento 328-42
310,74,Departamento 310-74
